city,country,year,city,country,avg_temp,year,avg_temp,y,a
Riyadh,Saudi Arabia,1843,Riyadh,Saudi Arabia,8.17,1843,8.17,1843,8.17
Riyadh,Saudi Arabia,1844,Riyadh,Saudi Arabia,7.65,1844,7.65,1844,7.65
Riyadh,Saudi Arabia,1845,Riyadh,Saudi Arabia,7.85,1845,7.85,1845,7.85
Riyadh,Saudi Arabia,1846,Riyadh,Saudi Arabia,8.55,1846,8.55,1846,8.55
Riyadh,Saudi Arabia,1847,Riyadh,Saudi Arabia,8.09,1847,8.09,1847,8.09
Riyadh,Saudi Arabia,1848,Riyadh,Saudi Arabia,7.98,1848,7.98,1848,7.98
Riyadh,Saudi Arabia,1849,Riyadh,Saudi Arabia,7.98,1849,7.98,1849,7.98
Riyadh,Saudi Arabia,1850,Riyadh,Saudi Arabia,7.9,1850,7.9,1850,7.9
Riyadh,Saudi Arabia,1851,Riyadh,Saudi Arabia,8.18,1851,8.18,1851,8.18
Riyadh,Saudi Arabia,1852,Riyadh,Saudi Arabia,8.1,1852,8.1,1852,8.1
Riyadh,Saudi Arabia,1853,Riyadh,Saudi Arabia,8.04,1853,8.04,1853,8.04
Riyadh,Saudi Arabia,1854,Riyadh,Saudi Arabia,8.21,1854,8.21,1854,8.21
Riyadh,Saudi Arabia,1855,Riyadh,Saudi Arabia,8.11,1855,8.11,1855,8.11
Riyadh,Saudi Arabia,1856,Riyadh,Saudi Arabia,8,1856,8,1856,8
Riyadh,Saudi Arabia,1857,Riyadh,Saudi Arabia,7.76,1857,7.76,1857,7.76
Riyadh,Saudi Arabia,1858,Riyadh,Saudi Arabia,8.1,1858,8.1,1858,8.1
Riyadh,Saudi Arabia,1859,Riyadh,Saudi Arabia,8.25,1859,8.25,1859,8.25
Riyadh,Saudi Arabia,1860,Riyadh,Saudi Arabia,7.96,1860,7.96,1860,7.96
Riyadh,Saudi Arabia,1861,Riyadh,Saudi Arabia,7.85,1861,7.85,1861,7.85
Riyadh,Saudi Arabia,1862,Riyadh,Saudi Arabia,7.56,1862,7.56,1862,7.56
Riyadh,Saudi Arabia,1863,Riyadh,Saudi Arabia,8.11,1863,8.11,1863,8.11
Riyadh,Saudi Arabia,1864,Riyadh,Saudi Arabia,7.98,1864,7.98,1864,7.98
Riyadh,Saudi Arabia,1865,Riyadh,Saudi Arabia,8.18,1865,8.18,1865,8.18
Riyadh,Saudi Arabia,1866,Riyadh,Saudi Arabia,8.29,1866,8.29,1866,8.29
Riyadh,Saudi Arabia,1867,Riyadh,Saudi Arabia,8.44,1867,8.44,1867,8.44
Riyadh,Saudi Arabia,1868,Riyadh,Saudi Arabia,8.25,1868,8.25,1868,8.25
Riyadh,Saudi Arabia,1869,Riyadh,Saudi Arabia,8.43,1869,8.43,1869,8.43
Riyadh,Saudi Arabia,1870,Riyadh,Saudi Arabia,8.2,1870,8.2,1870,8.2
Riyadh,Saudi Arabia,1871,Riyadh,Saudi Arabia,8.12,1871,8.12,1871,8.12
Riyadh,Saudi Arabia,1872,Riyadh,Saudi Arabia,8.19,1872,8.19,1872,8.19
Riyadh,Saudi Arabia,1873,Riyadh,Saudi Arabia,8.35,1873,8.35,1873,8.35
Riyadh,Saudi Arabia,1874,Riyadh,Saudi Arabia,8.43,1874,8.43,1874,8.43
Riyadh,Saudi Arabia,1875,Riyadh,Saudi Arabia,7.86,1875,7.86,1875,7.86
Riyadh,Saudi Arabia,1876,Riyadh,Saudi Arabia,8.08,1876,8.08,1876,8.08
Riyadh,Saudi Arabia,1877,Riyadh,Saudi Arabia,8.54,1877,8.54,1877,8.54
Riyadh,Saudi Arabia,1878,Riyadh,Saudi Arabia,8.83,1878,8.83,1878,8.83
Riyadh,Saudi Arabia,1879,Riyadh,Saudi Arabia,8.17,1879,8.17,1879,8.17
Riyadh,Saudi Arabia,1880,Riyadh,Saudi Arabia,8.12,1880,8.12,1880,8.12
Riyadh,Saudi Arabia,1881,Riyadh,Saudi Arabia,8.27,1881,8.27,1881,8.27
Riyadh,Saudi Arabia,1882,Riyadh,Saudi Arabia,8.13,1882,8.13,1882,8.13
Riyadh,Saudi Arabia,1883,Riyadh,Saudi Arabia,7.98,1883,7.98,1883,7.98
Riyadh,Saudi Arabia,1884,Riyadh,Saudi Arabia,7.77,1884,7.77,1884,7.77
Riyadh,Saudi Arabia,1885,Riyadh,Saudi Arabia,7.92,1885,7.92,1885,7.92
Riyadh,Saudi Arabia,1886,Riyadh,Saudi Arabia,7.95,1886,7.95,1886,7.95
Riyadh,Saudi Arabia,1887,Riyadh,Saudi Arabia,7.91,1887,7.91,1887,7.91
Riyadh,Saudi Arabia,1888,Riyadh,Saudi Arabia,8.09,1888,8.09,1888,8.09
Riyadh,Saudi Arabia,1889,Riyadh,Saudi Arabia,8.32,1889,8.32,1889,8.32
Riyadh,Saudi Arabia,1890,Riyadh,Saudi Arabia,7.97,1890,7.97,1890,7.97
Riyadh,Saudi Arabia,1891,Riyadh,Saudi Arabia,8.02,1891,8.02,1891,8.02
